CustomerID,Recency,Frequency,Monetary,YearMonth,Churn
12346,13,5,113.5,2009-12,0
12358,23,1,1429.83,2009-12,0
12359,15,2,838.89,2009-12,0
12362,30,1,130.0,2009-12,0
12417,21,2,317.6,2009-12,0
12422,13,1,75.0,2009-12,0
12435,29,1,1008.0,2009-12,0
12437,29,1,578.28,2009-12,0
12439,17,1,1081.66,2009-12,0
12440,9,1,568.51,2009-12,0
12443,24,1,485.31,2009-12,0
12455,13,1,1636.43,2009-12,0
12471,10,7,3281.22,2009-12,0
12472,17,1,1286.43,2009-12,0
12487,22,1,285.29999999999995,2009-12,0
12490,30,1,603.94,2009-12,0
12510,27,1,435.88,2009-12,0
12523,24,1,74.56,2009-12,0
12533,30,1,929.92,2009-12,0
12539,8,2,5149.06,2009-12,0
12540,24,1,412.6,2009-12,0
12557,14,1,1952.64,2009-12,0
12577,28,1,210.55,2009-12,0
12583,25,1,817.4399999999999,2009-12,0
12586,15,1,422.35,2009-12,0
12600,18,2,433.89000000000004,2009-12,0
12609,11,1,330.6,2009-12,0
12613,17,1,1350.81,2009-12,0
12636,30,1,141.0,2009-12,0
12664,18,1,549.08,2009-12,0
12681,18,1,1014.54,2009-12,0
12682,10,3,1072.95,2009-12,0
12683,11,2,1233.3600000000001,2009-12,0
12708,13,1,205.47,2009-12,0
12709,22,2,1661.56,2009-12,0
12712,22,1,333.8,2009-12,0
12714,27,1,682.65,2009-12,0
12747,15,3,1032.0,2009-12,0
12748,10,7,1851.51,2009-12,0
12758,30,1,2454.68,2009-12,0
12759,27,1,508.26,2009-12,0
12779,28,1,371.82,2009-12,0
12785,23,1,366.9,2009-12,0
12820,26,1,148.3,2009-12,0
12826,13,1,458.20000000000005,2009-12,0
12835,8,5,1046.26,2009-12,0
12836,30,1,423.87,2009-12,0
12839,13,3,969.78,2009-12,0
12842,29,1,397.20000000000005,2009-12,0
12843,18,1,76.84,2009-12,0
12854,20,1,525.34,2009-12,0
12867,15,1,295.64,2009-12,0
12872,28,1,407.22,2009-12,0
12913,24,2,741.96,2009-12,0
12917,22,1,1552.9,2009-12,0
12920,17,2,138.9,2009-12,0
12921,13,4,2443.7000000000003,2009-12,0
12924,17,3,280.35,2009-12,0
12926,17,1,390.66,2009-12,0
12931,28,2,1268.75,2009-12,0
12933,21,1,155.79,2009-12,0
12934,28,1,181.65,2009-12,0
12937,14,2,314.57,2009-12,0
12941,16,1,377.49,2009-12,0
12948,22,2,252.48000000000002,2009-12,0
12949,28,1,1794.7,2009-12,0
12956,15,2,276.7,2009-12,0
12957,20,1,1107.95,2009-12,0
12970,27,1,260.64,2009-12,0
12971,16,1,61.45,2009-12,0
12975,25,1,441.63,2009-12,0
12978,21,1,945.58,2009-12,0
12979,21,1,517.7,2009-12,0
12980,29,1,754.2,2009-12,0
12989,21,1,413.1,2009-12,0
12992,17,1,93.35000000000001,2009-12,0
13000,17,1,497.65000000000003,2009-12,0
13001,28,1,869.9300000000001,2009-12,0
13004,16,1,306.54,2009-12,0
13008,15,1,189.31,2009-12,0
13013,17,1,756.51,2009-12,0
13019,21,2,445.3,2009-12,0
13021,26,1,233.70999999999998,2009-12,0
13025,23,1,323.39,2009-12,0
13026,18,1,335.98,2009-12,0
13037,28,1,313.19,2009-12,0
13039,14,1,162.8,2009-12,0
13042,24,1,668.1,2009-12,0
13047,15,1,306.3,2009-12,0
13050,16,1,327.91,2009-12,0
13070,24,1,154.2,2009-12,0
13074,15,1,313.3,2009-12,0
13077,14,2,639.84,2009-12,0
13078,11,4,2319.03,2009-12,0
13081,23,1,2285.58,2009-12,0
13082,9,2,192.18,2009-12,0
13085,28,4,1096.8,2009-12,0
13087,18,1,313.64,2009-12,0
13089,10,5,3128.5,2009-12,0
13091,21,2,1976.0,2009-12,0
13093,17,3,1943.47,2009-12,0
13097,15,3,1244.33,2009-12,0
13110,30,1,362.78000000000003,2009-12,0
13111,10,1,321.88000000000005,2009-12,0
13114,22,1,234.38,2009-12,0
13136,23,1,549.09,2009-12,0
13141,22,1,351.45,2009-12,0
13148,24,1,331.40000000000003,2009-12,0
13154,27,1,337.1,2009-12,0
13162,16,2,1585.6100000000001,2009-12,0
13173,21,1,302.70000000000005,2009-12,0
13174,27,1,630.39,2009-12,0
13175,27,1,319.15,2009-12,0
13178,15,1,618.79,2009-12,0
13190,24,1,147.1,2009-12,0
13199,26,1,138.24,2009-12,0
13202,22,1,320.2,2009-12,0
13203,14,1,339.9,2009-12,0
13204,23,1,966.6600000000001,2009-12,0
13206,17,3,2504.77,2009-12,0
13208,28,1,61.12,2009-12,0
13211,25,1,235.84,2009-12,0
13225,14,1,1425.3,2009-12,0
13234,24,1,238.85,2009-12,0
13266,14,1,295.55,2009-12,0
13267,16,2,622.94,2009-12,0
13269,14,3,526.62,2009-12,0
13289,15,1,307.95,2009-12,0
13313,29,2,383.89,2009-12,0
13317,18,1,416.82,2009-12,0
13319,14,3,1260.77,2009-12,0
13327,13,1,914.16,2009-12,0
13329,27,1,334.65,2009-12,0
13373,25,1,748.42,2009-12,0
13381,30,1,17.4,2009-12,0
13382,23,1,255.04,2009-12,0
13393,16,2,389.7,2009-12,0
13394,30,1,304.53000000000003,2009-12,0
13403,15,1,78.6,2009-12,0
13405,16,1,146.45999999999998,2009-12,0
13408,10,6,2497.02,2009-12,0
13410,23,1,81.12,2009-12,0
13415,20,1,483.42,2009-12,0
13416,28,1,228.3,2009-12,0
13418,20,1,811.76,2009-12,0
13426,15,2,942.27,2009-12,0
13427,14,1,96.0,2009-12,0
13442,30,1,198.0,2009-12,0
13448,14,2,1160.09,2009-12,0
13455,9,2,431.65,2009-12,0
13457,29,1,112.5,2009-12,0
13462,17,1,171.82,2009-12,0
13468,13,3,903.15,2009-12,0
13473,16,1,388.74,2009-12,0
13481,27,1,311.2,2009-12,0
13485,23,2,204.70000000000002,2009-12,0
13487,26,1,103.95,2009-12,0
13491,14,3,801.28,2009-12,0
13495,16,2,819.91,2009-12,0
13498,22,1,327.38,2009-12,0
13510,10,1,266.7,2009-12,0
13520,14,1,589.4,2009-12,0
13526,30,2,1182.0,2009-12,0
13531,28,1,311.7,2009-12,0
13542,11,2,420.90999999999997,2009-12,0
13557,14,2,413.5,2009-12,0
13564,14,4,744.7,2009-12,0
13571,23,1,111.24000000000001,2009-12,0
13576,23,1,328.8,2009-12,0
13577,14,3,399.4,2009-12,0
13585,30,1,12.75,2009-12,0
13589,25,1,269.15,2009-12,0
13590,30,1,367.28000000000003,2009-12,0
13591,17,1,53.2,2009-12,0
13599,16,2,975.59,2009-12,0
13611,28,1,337.93,2009-12,0
13623,29,1,637.04,2009-12,0
13635,16,2,797.15,2009-12,0
13641,10,4,781.86,2009-12,0
13643,23,1,311.8,2009-12,0
13648,30,1,263.09000000000003,2009-12,0
13654,29,1,159.98000000000002,2009-12,0
13666,27,1,19.5,2009-12,0
13668,20,1,615.3,2009-12,0
13672,22,1,233.53000000000003,2009-12,0
13679,27,1,126.8,2009-12,0
13680,16,3,2289.15,2009-12,0
13693,15,3,548.65,2009-12,0
13694,8,12,20427.91,2009-12,0
13711,16,1,126.5,2009-12,0
13727,22,1,130.6,2009-12,0
13728,22,1,135.0,2009-12,0
13733,27,1,149.10000000000002,2009-12,0
13735,18,1,493.37,2009-12,0
13736,25,1,720.79,2009-12,0
13740,29,1,311.69,2009-12,0
13748,30,1,173.1,2009-12,0
13753,28,1,642.2,2009-12,0
13756,16,1,182.25,2009-12,0
13758,16,2,1866.94,2009-12,0
13767,17,3,2511.4,2009-12,0
13768,18,2,875.97,2009-12,0
13769,15,1,214.25,2009-12,0
13770,22,1,174.33,2009-12,0
13777,14,5,7125.04,2009-12,0
13781,13,1,314.44,2009-12,0
13782,25,1,132.4,2009-12,0
13786,28,1,723.09,2009-12,0
13798,14,3,1285.16,2009-12,0
13800,28,1,478.7,2009-12,0
13807,27,1,107.95,2009-12,0
13813,25,1,283.15,2009-12,0
13819,20,2,1082.4,2009-12,0
13823,16,1,391.55,2009-12,0
13825,22,1,143.36,2009-12,0
13831,15,2,1242.46,2009-12,0
13847,11,1,310.72,2009-12,0
13848,22,1,480.0,2009-12,0
13855,13,2,809.1,2009-12,0
13871,11,1,554.0,2009-12,0
13872,17,1,252.12,2009-12,0
13875,14,1,164.59,2009-12,0
13883,23,1,24.65,2009-12,0
13890,25,1,213.65,2009-12,0
13895,28,1,831.0,2009-12,0
13902,16,1,429.66,2009-12,0
13905,24,1,312.65,2009-12,0
13921,13,1,102.75,2009-12,0
13931,17,3,1630.06,2009-12,0
13941,15,1,781.1,2009-12,0
13946,27,1,280.2,2009-12,0
13948,27,1,155.65,2009-12,0
13952,15,1,1226.79,2009-12,0
13953,20,1,500.0,2009-12,0
13958,26,2,811.5500000000001,2009-12,0
13979,28,1,203.78,2009-12,0
13983,22,1,175.95000000000002,2009-12,0
13984,24,2,259.5,2009-12,0
13993,28,1,556.75,2009-12,0
13995,13,1,143.7,2009-12,0
13999,15,2,707.55,2009-12,0
14000,29,1,192.0,2009-12,0
14003,24,1,209.41,2009-12,0
14030,21,2,747.15,2009-12,0
14031,13,5,4081.29,2009-12,0
14032,10,2,617.64,2009-12,0
14037,24,1,218.33,2009-12,0
14040,14,2,1071.29,2009-12,0
14042,17,1,431.98,2009-12,0
14043,21,1,164.31,2009-12,0
14051,14,2,1073.39,2009-12,0
14055,15,1,274.32,2009-12,0
14057,28,1,119.54,2009-12,0
14061,16,2,553.4300000000001,2009-12,0
14062,17,2,2000.42,2009-12,0
14063,9,4,6701.599999999999,2009-12,0
14080,22,2,414.65,2009-12,0
14081,21,1,792.02,2009-12,0
14083,13,1,64.17,2009-12,0
14085,10,4,1844.71,2009-12,0
14087,27,1,236.69,2009-12,0
14092,15,1,136.20000000000002,2009-12,0
14095,14,1,2.95,2009-12,0
14099,21,1,390.44,2009-12,0
14105,13,1,646.3000000000001,2009-12,0
14106,29,1,214.79999999999998,2009-12,0
14107,22,1,163.26,2009-12,0
14108,23,2,447.05,2009-12,0
14110,14,2,676.5,2009-12,0
14113,14,4,1055.19,2009-12,0
14119,10,1,66.48,2009-12,0
14122,20,2,131.58999999999997,2009-12,0
14123,25,1,436.18,2009-12,0
14130,20,1,358.32,2009-12,0
14133,25,1,305.5,2009-12,0
14134,16,2,1745.24,2009-12,0
14135,22,2,1489.2,2009-12,0
14136,23,1,302.78000000000003,2009-12,0
14151,8,1,352.05,2009-12,0
14156,10,7,11051.22,2009-12,0
14159,28,1,393.65,2009-12,0
14161,18,1,505.13,2009-12,0
14171,22,1,135.0,2009-12,0
14173,22,1,23.6,2009-12,0
14191,20,1,15.9,2009-12,0
14204,29,1,371.27000000000004,2009-12,0
14211,22,1,187.8,2009-12,0
14215,23,1,425.59000000000003,2009-12,0
14238,26,1,159.1,2009-12,0
14239,22,2,214.55,2009-12,0
14258,27,1,1261.0,2009-12,0
14277,18,1,233.42000000000002,2009-12,0
14285,23,1,151.2,2009-12,0
14286,27,1,1610.52,2009-12,0
14290,23,1,870.63,2009-12,0
14291,22,1,408.51,2009-12,0
